Date,Open,High,Low,Close,Volume,pct_change,Lag1,Lag2,Lag3,MA_9,MA_21,MA_50,MA_150,MA_200,RSI_14,Target
2005-03-25,144.05,136.85,136.85,136.85,1263000.0,-0.05,144.05,151.6,159.55,165.44,148.6,112.35,81.71,77.57,47.98993648216781,130.05
2005-03-28,136.85,130.05,130.05,130.05,2614100.0,-0.05,136.85,144.05,151.6,160.27,149.29,113.4,82.13,77.88,44.25723382106925,123.55
2005-03-29,130.05,123.55,123.55,123.55,667000.0,-0.05,130.05,136.85,144.05,152.92,149.52,114.39,82.51,78.17,40.97631665499682,117.4
2005-03-30,123.55,130.4,117.4,117.4,106202100.0,-0.05,123.55,130.05,136.85,145.29,149.51,115.21,82.85,78.43,38.098486459707246,111.55
2005-03-31,117.4,119.75,111.55,111.55,39744900.0,-0.05,117.4,123.55,130.05,138.06,148.99,115.9,83.15,78.68,35.541472503642275,106.0
2005-04-01,111.55,107.0,106.0,106.0,18316400.0,-0.05,111.55,117.4,123.55,131.18,148.38,116.49,83.42,78.88,33.26071674663945,113.95
2005-04-04,106.0,113.95,106.5,113.95,56308800.0,0.07,106.0,111.55,117.4,126.11,147.73,117.19,83.74,79.13,39.27230199987261,111.0
2005-04-05,113.95,117.7,110.0,111.0,88799700.0,-0.03,113.95,106.0,111.55,121.6,146.48,117.8,84.04,79.36,37.90779561165649,105.8
2005-04-06,111.0,113.8,105.45,105.8,33569400.0,-0.05,111.0,113.95,106.0,117.35,144.92,118.27,84.31,79.57,35.56224709429455,110.7
2005-04-07,105.8,111.35,104.1,110.7,44911400.0,0.05,105.8,111.0,113.95,114.44,143.13,118.85,84.62,79.82,39.36927509300462,106.0
2005-04-08,110.7,111.1,105.2,106.0,36227900.0,-0.04,110.7,105.8,111.0,111.77,140.58,119.32,84.89,80.04,37.10482608583574,100.7
2005-04-11,106.0,108.75,100.7,100.7,3142600.0,-0.05,106.0,110.7,105.8,109.23,137.61,119.72,85.13,80.23,34.682262196714504,95.7
2005-04-12,100.7,95.7,95.7,95.7,145700.0,-0.05,100.7,106.0,110.7,106.82,134.35,120.02,85.33,80.4,32.52482284121887,96.0
2005-04-13,95.7,97.0,90.95,96.0,7833200.0,0.0,95.7,100.7,106.0,105.09,130.51,120.29,85.54,80.57,32.794950477779146,97.0
